Date,Department,Category,Region,Budget Amount,Actual Amount,Payment Method,Transaction ID,Variance,Variance %
2022-07-28 00:00:00,Finance,Training,East,69328,121051,Card,TXN100726,51723,74.61
2021-07-13 00:00:00,HR,Training,Central,69602,71975,UPI,TXN100727,2373,3.41
2023-04-27 00:00:00,HR,Infrastructure,South,20410,49738,Cash,TXN100728,29328,143.69
2022-12-16 00:00:00,Sales,Infrastructure,Central,23574,21119,UPI,TXN100729,-2455,-10.41
2023-11-16 00:00:00,IT,Marketing,North,107057,31872,Bank Transfer,TXN100730,-75185,-70.23
2021-06-22 00:00:00,Marketing,Infrastructure,East,69453,54152,UPI,TXN100731,-15301,-22.03
2021-11-22 00:00:00,Marketing,Salaries,Central,111364,97656,Bank Transfer,TXN100732,-13708,-12.31
2023-04-16 00:00:00,HR,Salaries,West,134488,42369,Card,TXN100733,-92119,-68.50
2022-12-25 00:00:00,Finance,Utilities,North,123535,37315,Cash,TXN100734,-86220,-69.79
2021-08-13 00:00:00,Operations,Travel,North,40779,11843,Bank Transfer,TXN100735,-28936,-70.96
2022-06-16 00:00:00,Sales,Infrastructure,West,22607,56512,Cash,TXN100736,33905,149.98
2021-04-23 00:00:00,Finance,Marketing,North,55883,11675,Card,TXN100737,-44208,-79.11
2021-05-20 00:00:00,HR,Training,East,11100,85585,Card,TXN100738,74485,671.04
2022-07-13 00:00:00,IT,Salaries,Central,18310,41773,Bank Transfer,TXN100739,23463,128.14
2021-01-01 00:00:00,Sales,Salaries,North,48069,68044,UPI,TXN100740,19975,41.55
2021-03-31 00:00:00,HR,Salaries,East,57740,8231,Cash,TXN100741,-49509,-85.74
2022-10-16 00:00:00,Marketing,Travel,West,126888,19845,UPI,TXN100742,-107043,-84.36
2021-11-16 00:00:00,Sales,Travel,Central,19233,30960,Cash,TXN100743,11727,60.97
2021-05-19 00:00:00,HR,Infrastructure,West,141568,157589,Card,TXN100744,16021,11.32
2023-04-25 00:00:00,Marketing,Training,Central,105979,167484,Card,TXN100745,61505,58.04
2021-09-16 00:00:00,Marketing,Marketing,North,145246,91610,Card,TXN100746,-53636,-36.93
2023-06-21 00:00:00,Operations,Travel,North,66121,156679,UPI,TXN100747,90558,136.96
2022-11-21 00:00:00,IT,Utilities,Central,119628,111274,Card,TXN100748,-8354,-6.98
2021-01-10 00:00:00,Operations,Travel,East,44421,157659,UPI,TXN100749,113238,254.92
2021-09-18 00:00:00,HR,Salaries,East,134586,17089,Card,TXN100750,-117497,-87.30
2021-06-21 00:00:00,Finance,Marketing,East,56567,55635,UPI,TXN100751,-932,-1.65
2023-06-17 00:00:00,Operations,Infrastructure,South,92163,146954,Bank Transfer,TXN100752,54791,59.45
2021-01-13 00:00:00,Finance,Travel,East,82535,165517,Bank Transfer,TXN100753,82982,100.54
2021-11-17 00:00:00,Marketing,Salaries,North,16073,114647,Cash,TXN100754,98574,613.29
2021-11-25 00:00:00,HR,Utilities,South,116534,58503,UPI,TXN100755,-58031,-49.80
2023-02-24 00:00:00,IT,Utilities,East,98541,155627,UPI,TXN100756,57086,57.93
2023-02-16 00:00:00,Finance,Infrastructure,North,93535,13524,Bank Transfer,TXN100757,-80011,-85.54
2023-06-30 00:00:00,HR,Infrastructure,South,10019,160313,Bank Transfer,TXN100758,150294,1500.09
2021-11-14 00:00:00,Finance,Travel,North,24160,30201,Bank Transfer,TXN100759,6041,25.00
2021-08-24 00:00:00,Operations,Infrastructure,Central,42398,27817,Cash,TXN100760,-14581,-34.39
2021-11-30 00:00:00,HR,Training,North,71651,149162,Bank Transfer,TXN100761,77511,108.18
2022-01-11 00:00:00,Operations,Training,South,138171,25743,Cash,TXN100762,-112428,-81.37
2022-08-11 00:00:00,Sales,Salaries,East,125194,131572,Cash,TXN100763,6378,5.09
2022-05-28 00:00:00,HR,Salaries,South,100980,113736,Bank Transfer,TXN100764,12756,12.63
2023-07-07 00:00:00,Finance,Salaries,East,123866,24483,Bank Transfer,TXN100765,-99383,-80.23
2023-05-23 00:00:00,Sales,Training,East,38566,120179,Bank Transfer,TXN100766,81613,211.62
2021-09-27 00:00:00,Operations,Travel,West,52129,27826,UPI,TXN100767,-24303,-46.62
2023-03-09 00:00:00,Operations,Travel,Central,113661,21196,Card,TXN100768,-92465,-81.35
2022-12-26 00:00:00,Finance,Infrastructure,West,59891,34496,UPI,TXN100769,-25395,-42.40
2021-01-05 00:00:00,Sales,Travel,South,19982,123274,Cash,TXN100770,103292,516.93
2023-05-01 00:00:00,Marketing,Salaries,West,111359,19159,Cash,TXN100771,-92200,-82.80
2021-03-19 00:00:00,IT,Marketing,East,129075,35780,Card,TXN100772,-93295,-72.28
2022-07-28 00:00:00,Finance,Salaries,South,63074,122943,Card,TXN100773,59869,94.92
2021-05-12 00:00:00,Operations,Training,West,135277,91920,Bank Transfer,TXN100774,-43357,-32.05
2022-08-24 00:00:00,HR,Marketing,North,42185,137427,UPI,TXN100775,95242,225.77
2023-12-02 00:00:00,Sales,Infrastructure,Central,77325,43775,UPI,TXN100776,-33550,-43.39
2021-03-30 00:00:00,Marketing,Utilities,North,131089,153038,UPI,TXN100777,21949,16.74
2022-02-06 00:00:00,IT,Travel,South,10584,105333,Card,TXN100778,94749,895.21
2021-10-23 00:00:00,HR,Travel,West,127888,61654,UPI,TXN100779,-66234,-51.79
2022-09-08 00:00:00,Sales,Training,East,140747,152768,Card,TXN100780,12021,8.54
2023-03-11 00:00:00,Marketing,Salaries,West,57323,161646,UPI,TXN100781,104323,181.99
2022-02-26 00:00:00,Finance,Salaries,South,137276,53170,Card,TXN100782,-84106,-61.27
2023-11-13 00:00:00,Marketing,Marketing,South,123700,45880,UPI,TXN100783,-77820,-62.91
2022-07-29 00:00:00,Finance,Travel,South,119318,127589,Cash,TXN100784,8271,6.93
2021-05-23 00:00:00,Sales,Training,South,24469,59329,Card,TXN100785,34860,142.47
2023-09-20 00:00:00,Marketing,Infrastructure,West,91340,75116,Bank Transfer,TXN100786,-16224,-17.76
2022-10-27 00:00:00,IT,Salaries,North,113060,109530,Cash,TXN100787,-3530,-3.12
2021-05-25 00:00:00,Marketing,Travel,East,148527,143662,Cash,TXN100788,-4865,-3.28
2023-10-04 00:00:00,Sales,Utilities,East,76598,155537,Card,TXN100789,78939,103.06
2022-05-18 00:00:00,HR,Training,Central,70698,130189,UPI,TXN100790,59491,84.15
2023-04-01 00:00:00,HR,Marketing,South,129190,13301,UPI,TXN100791,-115889,-89.70
2021-04-14 00:00:00,Marketing,Salaries,South,81602,164845,Card,TXN100792,83243,102.01
2023-11-29 00:00:00,Marketing,Salaries,South,113988,97482,UPI,TXN100793,-16506,-14.48
2021-07-17 00:00:00,Finance,Infrastructure,North,141031,32491,UPI,TXN100794,-108540,-76.96
2022-08-02 00:00:00,Sales,Salaries,South,20914,132191,UPI,TXN100795,111277,532.07
2022-01-26 00:00:00,Finance,Training,Central,49606,124741,Card,TXN100796,75135,151.46
2022-07-08 00:00:00,IT,Travel,Central,140596,25328,Card,TXN100797,-115268,-81.99
2023-11-05 00:00:00,HR,Travel,North,79603,98005,Bank Transfer,TXN100798,18402,23.12
2022-04-23 00:00:00,Operations,Travel,South,129756,16770,UPI,TXN100799,-112986,-87.08
2023-07-12 00:00:00,Operations,Utilities,West,123462,148178,UPI,TXN100800,24716,20.02
2022-02-24 00:00:00,Sales,Utilities,West,149949,98273,Card,TXN100801,-51676,-34.46
2021-06-06 00:00:00,Sales,Salaries,East,132494,130152,Bank Transfer,TXN100802,-2342,-1.77
2022-07-04 00:00:00,Operations,Utilities,North,33038,62888,Card,TXN100803,29850,90.35
2023-10-18 00:00:00,Sales,Utilities,West,135429,139846,Card,TXN100804,4417,3.26
2023-09-24 00:00:00,HR,Infrastructure,East,22869,73592,Bank Transfer,TXN100805,50723,221.80
2023-08-09 00:00:00,IT,Utilities,Central,22058,162127,Card,TXN100806,140069,635.00
2021-10-16 00:00:00,IT,Marketing,East,98724,113530,Cash,TXN100807,14806,15.00
2021-07-15 00:00:00,Finance,Marketing,South,13500,40648,Bank Transfer,TXN100808,27148,201.10
2022-08-21 00:00:00,HR,Marketing,South,134541,138809,UPI,TXN100809,4268,3.17
2022-06-01 00:00:00,Sales,Salaries,Central,102162,8545,UPI,TXN100810,-93617,-91.64
2023-05-15 00:00:00,Sales,Travel,North,139798,60132,Bank Transfer,TXN100811,-79666,-56.99
2023-03-17 00:00:00,Finance,Infrastructure,South,78797,45674,UPI,TXN100812,-33123,-42.04
2023-03-26 00:00:00,Finance,Salaries,South,120633,69486,Cash,TXN100813,-51147,-42.40
2021-08-16 00:00:00,Sales,Travel,East,62995,50373,UPI,TXN100814,-12622,-20.04
2021-08-04 00:00:00,Sales,Infrastructure,East,143053,153573,Bank Transfer,TXN100815,10520,7.35
2023-08-06 00:00:00,HR,Infrastructure,East,92567,100527,Card,TXN100816,7960,8.60
2021-01-15 00:00:00,Finance,Infrastructure,West,63075,128186,Bank Transfer,TXN100817,65111,103.23
2021-02-16 00:00:00,HR,Marketing,Central,25876,11388,Bank Transfer,TXN100818,-14488,-55.99
2021-11-20 00:00:00,Marketing,Marketing,North,143054,58564,Cash,TXN100819,-84490,-59.06
2023-04-24 00:00:00,Sales,Marketing,East,80791,84357,UPI,TXN100820,3566,4.41
2021-05-10 00:00:00,Operations,Infrastructure,North,86285,74107,Bank Transfer,TXN100821,-12178,-14.11
2021-04-05 00:00:00,Operations,Training,East,40214,157196,UPI,TXN100822,116982,290.90
2022-09-19 00:00:00,Marketing,Infrastructure,South,104244,56877,Card,TXN100823,-47367,-45.44
2023-01-25 00:00:00,Sales,Marketing,North,12019,90267,Bank Transfer,TXN100824,78248,651.04
2023-03-05 00:00:00,Finance,Infrastructure,West,112978,156300,Bank Transfer,TXN100825,43322,38.35
2021-03-10 00:00:00,Operations,Marketing,East,82516,27049,UPI,TXN100826,-55467,-67.22
2021-01-11 00:00:00,Finance,Marketing,Central,53524,143664,Cash,TXN100827,90140,168.41
2023-05-22 00:00:00,Operations,Marketing,South,123518,104766,Cash,TXN100828,-18752,-15.18
2022-07-04 00:00:00,Finance,Training,East,99022,18691,UPI,TXN100829,-80331,-81.12
2022-12-13 00:00:00,Operations,Travel,North,118518,65886,Bank Transfer,TXN100830,-52632,-44.41
2021-01-23 00:00:00,Finance,Infrastructure,East,30592,51860,Card,TXN100831,21268,69.52
2023-03-26 00:00:00,Marketing,Salaries,South,101931,71791,Cash,TXN100832,-30140,-29.57
2021-12-12 00:00:00,HR,Marketing,Central,63848,135273,Cash,TXN100833,71425,111.87
2021-10-29 00:00:00,Finance,Training,Central,112841,58521,Card,TXN100834,-54320,-48.14
2021-12-29 00:00:00,HR,Salaries,Central,54610,147549,Cash,TXN100835,92939,170.19
2022-01-31 00:00:00,HR,Travel,South,39817,147124,UPI,TXN100836,107307,269.50
2021-08-06 00:00:00,Sales,Infrastructure,East,95348,76595,Bank Transfer,TXN100837,-18753,-19.67
2021-05-21 00:00:00,Marketing,Training,South,97524,36797,Cash,TXN100838,-60727,-62.27
2023-08-16 00:00:00,HR,Marketing,South,128237,106354,Card,TXN100839,-21883,-17.06
2023-09-12 00:00:00,IT,Marketing,East,13881,23410,UPI,TXN100840,9529,68.65
2023-09-20 00:00:00,HR,Marketing,West,52202,68780,UPI,TXN100841,16578,31.76
2023-04-08 00:00:00,Finance,Training,Central,66623,19495,UPI,TXN100842,-47128,-70.74
2022-11-14 00:00:00,HR,Salaries,North,69434,146929,UPI,TXN100843,77495,111.61
2023-10-01 00:00:00,Finance,Travel,North,98979,51677,Bank Transfer,TXN100844,-47302,-47.79
2021-12-22 00:00:00,Finance,Infrastructure,East,81185,146898,UPI,TXN100845,65713,80.94
2023-10-05 00:00:00,IT,Travel,North,69056,21791,UPI,TXN100846,-47265,-68.44
2023-06-07 00:00:00,HR,Marketing,West,67937,34965,UPI,TXN100847,-32972,-48.53
2021-05-07 00:00:00,HR,Travel,South,86567,90443,Card,TXN100848,3876,4.48
2023-10-06 00:00:00,Operations,Salaries,Central,15508,98766,Card,TXN100849,83258,536.87
2022-08-27 00:00:00,Operations,Utilities,North,71155,110905,Card,TXN100850,39750,55.86
2023-10-11 00:00:00,Sales,Utilities,North,83658,135374,Card,TXN100851,51716,61.82
2021-02-20 00:00:00,Finance,Infrastructure,East,34509,125877,Cash,TXN100852,91368,264.77
2023-11-19 00:00:00,IT,Infrastructure,East,35497,92028,UPI,TXN100853,56531,159.26
2023-02-18 00:00:00,Operations,Travel,South,69383,116434,Cash,TXN100854,47051,67.81
2023-03-25 00:00:00,HR,Infrastructure,Central,140053,30840,Cash,TXN100855,-109213,-77.98
2022-02-24 00:00:00,Sales,Training,North,53159,36638,Cash,TXN100856,-16521,-31.08
2023-09-10 00:00:00,IT,Salaries,South,56814,131144,Bank Transfer,TXN100857,74330,130.83
2023-04-05 00:00:00,Marketing,Marketing,Central,116246,76870,UPI,TXN100858,-39376,-33.87
2023-10-22 00:00:00,HR,Marketing,South,17945,74247,UPI,TXN100859,56302,313.75
2022-07-21 00:00:00,HR,Travel,North,127926,82640,Cash,TXN100860,-45286,-35.40
2022-01-06 00:00:00,Marketing,Marketing,East,142565,103887,Card,TXN100861,-38678,-27.13
2023-07-25 00:00:00,Finance,Travel,East,126265,71826,Bank Transfer,TXN100862,-54439,-43.11
2022-10-23 00:00:00,Finance,Infrastructure,East,21187,106635,Cash,TXN100863,85448,403.30
2023-08-27 00:00:00,Operations,Infrastructure,West,26696,130847,Cash,TXN100864,104151,390.14
2021-07-21 00:00:00,Operations,Training,South,49454,122094,Bank Transfer,TXN100865,72640,146.88
2021-11-09 00:00:00,HR,Training,North,128763,77370,Cash,TXN100866,-51393,-39.91
2021-04-27 00:00:00,HR,Salaries,South,31602,131031,UPI,TXN100867,99429,314.63
2023-07-26 00:00:00,Operations,Marketing,East,27619,137149,Card,TXN100868,109530,396.57
2022-07-29 00:00:00,Marketing,Training,South,83298,32996,Card,TXN100869,-50302,-60.39
2021-09-01 00:00:00,Operations,Salaries,Central,141027,81269,Card,TXN100870,-59758,-42.37
2022-06-21 00:00:00,HR,Utilities,South,55628,148262,Card,TXN100871,92634,166.52
2021-03-16 00:00:00,IT,Training,West,45171,27939,Cash,TXN100872,-17232,-38.15
2022-01-21 00:00:00,HR,Salaries,West,48789,16484,Card,TXN100873,-32305,-66.21
2022-04-20 00:00:00,IT,Travel,East,66572,65512,Cash,TXN100874,-1060,-1.59
2022-02-22 00:00:00,IT,Travel,North,88019,166429,UPI,TXN100875,78410,89.08
2021-12-13 00:00:00,HR,Salaries,Central,100373,130495,Cash,TXN100876,30122,30.01
2022-10-02 00:00:00,Sales,Infrastructure,North,77905,30406,Cash,TXN100877,-47499,-60.97
2023-07-28 00:00:00,Operations,Utilities,North,143539,163360,Cash,TXN100878,19821,13.81
2023-08-13 00:00:00,Finance,Salaries,Central,42241,15793,Bank Transfer,TXN100879,-26448,-62.61
2023-05-26 00:00:00,HR,Training,West,129115,14677,Bank Transfer,TXN100880,-114438,-88.63
2023-02-02 00:00:00,IT,Infrastructure,East,89143,63869,Bank Transfer,TXN100881,-25274,-28.35
2022-10-26 00:00:00,HR,Salaries,South,44822,99034,UPI,TXN100882,54212,120.95
2021-01-25 00:00:00,Operations,Marketing,West,27907,132700,Card,TXN100883,104793,375.51
2022-12-11 00:00:00,Marketing,Training,East,49512,64335,Cash,TXN100884,14823,29.94
2021-06-26 00:00:00,IT,Training,West,95656,152340,Cash,TXN100885,56684,59.26
2021-10-12 00:00:00,Finance,Travel,Central,15357,18634,Card,TXN100886,3277,21.34
2021-03-04 00:00:00,Finance,Marketing,North,136292,14420,Bank Transfer,TXN100887,-121872,-89.42
2023-09-30 00:00:00,Finance,Marketing,Central,23616,77914,UPI,TXN100888,54298,229.92
2022-10-24 00:00:00,Marketing,Training,South,84759,74534,Cash,TXN100889,-10225,-12.06
2022-10-28 00:00:00,Sales,Utilities,Central,108273,12302,Card,TXN100890,-95971,-88.64
2021-06-05 00:00:00,IT,Infrastructure,North,126694,146902,Bank Transfer,TXN100891,20208,15.95
2023-12-09 00:00:00,Marketing,Travel,West,19422,121202,UPI,TXN100892,101780,524.04
2023-08-25 00:00:00,IT,Marketing,East,149674,26908,Card,TXN100893,-122766,-82.02
2023-04-29 00:00:00,Marketing,Travel,South,20497,53191,Card,TXN100894,32694,159.51
2022-11-20 00:00:00,Marketing,Training,West,131482,162671,Cash,TXN100895,31189,23.72
2021-05-28 00:00:00,Sales,Infrastructure,East,57229,32373,UPI,TXN100896,-24856,-43.43
2021-12-08 00:00:00,IT,Salaries,North,78628,150076,UPI,TXN100897,71448,90.87
2022-04-21 00:00:00,Marketing,Marketing,Central,78127,126886,Bank Transfer,TXN100898,48759,62.41
2023-12-23 00:00:00,Sales,Infrastructure,West,110806,57157,Bank Transfer,TXN100899,-53649,-48.42
2022-07-15 00:00:00,HR,Travel,East,29476,65355,Cash,TXN100900,35879,121.72
2021-11-23 00:00:00,Operations,Training,East,82597,10150,UPI,TXN100901,-72447,-87.71
2023-09-17 00:00:00,Marketing,Infrastructure,Central,91697,31226,Bank Transfer,TXN100902,-60471,-65.95
2021-08-03 00:00:00,Finance,Salaries,West,77209,87680,UPI,TXN100903,10471,13.56
2022-03-11 00:00:00,Sales,Infrastructure,West,101200,94442,Card,TXN100904,-6758,-6.68
2023-08-10 00:00:00,Sales,Training,North,73575,69528,Card,TXN100905,-4047,-5.50
2022-12-24 00:00:00,Marketing,Travel,West,17308,39435,Card,TXN100906,22127,127.84
2021-02-01 00:00:00,Sales,Marketing,Central,119941,167066,UPI,TXN100907,47125,39.29
2022-11-01 00:00:00,HR,Marketing,West,43267,62102,Cash,TXN100908,18835,43.53
2021-10-12 00:00:00,Sales,Utilities,North,108629,60434,Bank Transfer,TXN100909,-48195,-44.37
2022-03-05 00:00:00,Operations,Travel,East,39224,146964,Cash,TXN100910,107740,274.68
2021-10-13 00:00:00,Operations,Utilities,West,130721,159060,Cash,TXN100911,28339,21.68
2023-11-09 00:00:00,Finance,Utilities,Central,76423,101708,Cash,TXN100912,25285,33.09
2021-01-18 00:00:00,HR,Training,West,117491,47907,Cash,TXN100913,-69584,-59.22
2023-02-08 00:00:00,Operations,Training,South,86768,23479,Bank Transfer,TXN100914,-63289,-72.94
2022-08-13 00:00:00,Marketing,Training,North,43696,121792,Card,TXN100915,78096,178.73
2023-10-07 00:00:00,IT,Salaries,East,70312,18802,Card,TXN100916,-51510,-73.26
2021-07-13 00:00:00,IT,Travel,South,79939,117885,Card,TXN100917,37946,47.47
2022-05-17 00:00:00,IT,Marketing,Central,24992,15774,UPI,TXN100918,-9218,-36.88
2023-09-15 00:00:00,Marketing,Travel,West,149062,24625,UPI,TXN100919,-124437,-83.48
2021-04-24 00:00:00,Sales,Training,North,54215,102111,Bank Transfer,TXN100920,47896,88.34
2023-08-05 00:00:00,Marketing,Salaries,West,92544,114332,Bank Transfer,TXN100921,21788,23.54
2023-04-11 00:00:00,Sales,Travel,West,14344,21749,Bank Transfer,TXN100922,7405,51.62
2023-07-14 00:00:00,IT,Travel,West,61523,54521,Card,TXN100923,-7002,-11.38
2021-02-24 00:00:00,Finance,Utilities,West,146188,83732,Bank Transfer,TXN100924,-62456,-42.72
2023-03-11 00:00:00,Finance,Travel,North,69660,104663,Card,TXN100925,35003,50.25
2023-02-17 00:00:00,Sales,Utilities,South,117773,97398,Card,TXN100926,-20375,-17.30
2021-06-11 00:00:00,IT,Utilities,Central,51646,123758,Cash,TXN100927,72112,139.63
2021-03-28 00:00:00,Marketing,Infrastructure,South,14610,62069,UPI,TXN100928,47459,324.84
2021-02-24 00:00:00,Finance,Training,North,70519,38591,UPI,TXN100929,-31928,-45.28
2023-10-29 00:00:00,Sales,Salaries,Central,47265,118280,Bank Transfer,TXN100930,71015,150.25
2023-04-13 00:00:00,Marketing,Utilities,East,144924,96563,Cash,TXN100931,-48361,-33.37
2021-11-09 00:00:00,IT,Travel,South,107222,67132,Bank Transfer,TXN100932,-40090,-37.39
2023-01-29 00:00:00,HR,Utilities,North,29788,110591,Bank Transfer,TXN100933,80803,271.26
2022-03-19 00:00:00,IT,Utilities,North,17724,153456,UPI,TXN100934,135732,765.81
2021-11-24 00:00:00,IT,Utilities,North,59725,47005,Cash,TXN100935,-12720,-21.30
2023-12-14 00:00:00,Marketing,Marketing,Central,56026,94946,Bank Transfer,TXN100936,38920,69.47
2023-01-31 00:00:00,Marketing,Marketing,West,59588,34348,Bank Transfer,TXN100937,-25240,-42.36
2022-08-02 00:00:00,Operations,Marketing,East,20695,44573,Bank Transfer,TXN100938,23878,115.38
2023-12-11 00:00:00,Operations,Marketing,Central,53422,141286,Card,TXN100939,87864,164.47
2023-10-04 00:00:00,Marketing,Infrastructure,Central,73442,138541,UPI,TXN100940,65099,88.64
2021-04-06 00:00:00,Marketing,Utilities,South,142470,38973,Card,TXN100941,-103497,-72.64
2023-03-25 00:00:00,HR,Infrastructure,East,118050,130809,Bank Transfer,TXN100942,12759,10.81
2022-05-06 00:00:00,HR,Travel,North,83227,32632,Cash,TXN100943,-50595,-60.79
2022-03-28 00:00:00,IT,Training,Central,86479,63301,Card,TXN100944,-23178,-26.80
2021-06-14 00:00:00,Finance,Salaries,East,89462,24621,Card,TXN100945,-64841,-72.48
2021-07-01 00:00:00,HR,Infrastructure,South,70273,8732,Bank Transfer,TXN100946,-61541,-87.57
2022-04-14 00:00:00,IT,Marketing,West,55817,138271,Card,TXN100947,82454,147.72
2023-06-29 00:00:00,Sales,Marketing,East,71171,30547,Cash,TXN100948,-40624,-57.08
2023-01-05 00:00:00,Operations,Travel,North,144338,109128,Cash,TXN100949,-35210,-24.39
2023-04-03 00:00:00,Finance,Utilities,Central,147480,135117,UPI,TXN100950,-12363,-8.38
2023-08-02 00:00:00,IT,Salaries,West,24842,63671,UPI,TXN100951,38829,156.30
2021-01-07 00:00:00,Marketing,Infrastructure,South,144569,141526,Cash,TXN100952,-3043,-2.10
2021-11-26 00:00:00,Sales,Utilities,North,71415,168559,Cash,TXN100953,97144,136.03
2023-02-14 00:00:00,Operations,Utilities,West,31340,169761,Card,TXN100954,138421,441.68
2021-05-31 00:00:00,Sales,Training,South,117362,161679,UPI,TXN100955,44317,37.76
2021-05-27 00:00:00,IT,Training,North,105330,123455,Card,TXN100956,18125,17.21
2023-07-04 00:00:00,HR,Infrastructure,Central,78070,150647,Cash,TXN100957,72577,92.96
2022-12-01 00:00:00,Operations,Infrastructure,South,66725,60576,UPI,TXN100958,-6149,-9.22
2021-03-23 00:00:00,Sales,Infrastructure,West,57018,123401,Card,TXN100959,66383,116.42
2022-05-29 00:00:00,HR,Infrastructure,North,132907,24469,UPI,TXN100960,-108438,-81.59
2023-03-26 00:00:00,Finance,Marketing,East,45985,58730,Bank Transfer,TXN100961,12745,27.72
2022-12-10 00:00:00,IT,Utilities,North,70341,108320,Bank Transfer,TXN100962,37979,53.99
2023-01-16 00:00:00,IT,Utilities,West,99249,19678,Bank Transfer,TXN100963,-79571,-80.17
2023-10-20 00:00:00,Operations,Marketing,West,89712,68771,Bank Transfer,TXN100964,-20941,-23.34
2022-12-08 00:00:00,Sales,Utilities,East,29075,53699,Bank Transfer,TXN100965,24624,84.69
2022-04-16 00:00:00,Finance,Infrastructure,West,131229,115767,UPI,TXN100966,-15462,-11.78
2022-01-31 00:00:00,Marketing,Salaries,North,11555,23002,Cash,TXN100967,11447,99.07
2021-09-18 00:00:00,Operations,Training,South,136562,36389,Card,TXN100968,-100173,-73.35
2023-03-16 00:00:00,Marketing,Training,North,78625,136538,Cash,TXN100969,57913,73.66
2023-07-23 00:00:00,Operations,Utilities,West,83114,55971,Cash,TXN100970,-27143,-32.66
2023-06-24 00:00:00,Sales,Salaries,East,132656,37421,Cash,TXN100971,-95235,-71.79
2023-12-13 00:00:00,Finance,Training,East,126292,96238,Card,TXN100972,-30054,-23.80
2023-07-29 00:00:00,Sales,Salaries,Central,33185,146043,Bank Transfer,TXN100973,112858,340.09
2023-05-04 00:00:00,IT,Marketing,East,138877,27235,UPI,TXN100974,-111642,-80.39
2022-08-16 00:00:00,Marketing,Travel,East,44594,110460,UPI,TXN100975,65866,147.70
2022-12-15 00:00:00,HR,Utilities,West,133126,139846,Cash,TXN100976,6720,5.05
2022-09-24 00:00:00,IT,Marketing,South,27754,59613,UPI,TXN100977,31859,114.79
2021-02-28 00:00:00,IT,Marketing,South,54507,15985,Card,TXN100978,-38522,-70.67
2021-05-08 00:00:00,Marketing,Salaries,West,31512,147379,Cash,TXN100979,115867,367.69
2023-01-06 00:00:00,Operations,Utilities,East,146883,38119,Card,TXN100980,-108764,-74.05
2022-12-22 00:00:00,IT,Marketing,North,44459,64808,Cash,TXN100981,20349,45.77
2022-06-10 00:00:00,Finance,Infrastructure,South,74757,91269,Bank Transfer,TXN100982,16512,22.09
2022-06-05 00:00:00,IT,Marketing,West,111694,68587,UPI,TXN100983,-43107,-38.59
2022-07-06 00:00:00,Finance,Infrastructure,North,19862,27231,UPI,TXN100984,7369,37.10
2021-08-25 00:00:00,Sales,Travel,East,108340,114318,Card,TXN100985,5978,5.52
2022-05-09 00:00:00,Operations,Infrastructure,West,119912,38028,UPI,TXN100986,-81884,-68.29
2021-01-04 00:00:00,Finance,Infrastructure,South,45107,112265,Cash,TXN100987,67158,148.89
2022-10-28 00:00:00,IT,Salaries,North,98080,39143,Bank Transfer,TXN100988,-58937,-60.09
2022-03-18 00:00:00,Operations,Marketing,North,44139,31975,UPI,TXN100989,-12164,-27.56
2021-01-29 00:00:00,Operations,Travel,South,43444,66983,Bank Transfer,TXN100990,23539,54.18
2022-09-02 00:00:00,Finance,Marketing,North,138443,166593,Card,TXN100991,28150,20.33
2023-03-16 00:00:00,Finance,Infrastructure,South,141324,149685,Bank Transfer,TXN100992,8361,5.92
2021-03-16 00:00:00,HR,Training,West,111168,158513,UPI,TXN100993,47345,42.59
2023-04-18 00:00:00,HR,Infrastructure,Central,126304,66311,UPI,TXN100994,-59993,-47.50
2021-05-08 00:00:00,Operations,Marketing,East,20208,63088,Card,TXN100995,42880,212.19
2021-02-11 00:00:00,Marketing,Travel,West,94151,102650,Card,TXN100996,8499,9.03
2021-02-10 00:00:00,Marketing,Training,East,65585,97125,Bank Transfer,TXN100997,31540,48.09
2023-07-23 00:00:00,HR,Travel,East,92680,84559,Bank Transfer,TXN100998,-8121,-8.76
2021-02-03 00:00:00,IT,Salaries,South,95206,82747,Card,TXN100999,-12459,-13.09
2023-11-07 00:00:00,Sales,Infrastructure,Central,49069,75542,UPI,TXN101000,26473,53.95
2023-09-25 00:00:00,Operations,Infrastructure,East,66218,116058,Bank Transfer,TXN101001,49840,75.27
2022-08-11 00:00:00,Sales,Salaries,East,35006,148105,Card,TXN101002,113099,323.08
2021-12-08 00:00:00,HR,Marketing,West,136610,42971,Bank Transfer,TXN101003,-93639,-68.54
2021-01-27 00:00:00,Finance,Infrastructure,Central,49916,154136,Card,TXN101004,104220,208.79
2022-10-08 00:00:00,Operations,Marketing,Central,35667,72705,UPI,TXN101005,37038,103.84
2023-01-01 00:00:00,HR,Travel,East,86427,131692,Bank Transfer,TXN101006,45265,52.37
2021-06-17 00:00:00,IT,Training,Central,57688,105440,Bank Transfer,TXN101007,47752,82.78
2022-09-02 00:00:00,Operations,Training,West,24414,63935,Cash,TXN101008,39521,161.88
2021-09-25 00:00:00,Operations,Training,South,134668,69105,Cash,TXN101009,-65563,-48.68
2023-04-01 00:00:00,Marketing,Utilities,East,28564,116205,UPI,TXN101010,87641,306.82
2022-03-31 00:00:00,Finance,Salaries,North,15316,111970,Card,TXN101011,96654,631.07
2023-06-25 00:00:00,Operations,Training,East,54056,31790,Cash,TXN101012,-22266,-41.19
